"","plot ID","Long","Lat","UTM east","UTM north","UTM east of lower left","UTM north of lower left","Mean CHM"
"190","STER_006",-103.035332,40.463935,666568.228125937,4481105.26035748,666000,4481000,0.0260915894005298
"191","STER_006",-103.035332,40.463935,666568.228125937,4481105.26035748,666000,4481000,0.0260915894005298
"192","STER_006",-103.035332,40.463935,666568.228125937,4481105.26035748,666000,4481000,0.0260915894005298
"193","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"194","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"195","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"196","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"197","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"198","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"199","STER_018",-103.0346,40.465261,666627.014151829,4481253.84098911,666000,4481000,0.0260915894005298
"200","STER_018",-103.0346,40.465261,666627.014151829,4481253.84098911,666000,4481000,0.0260915894005298
"201","STER_018",-103.0346,40.465261,666627.014151829,4481253.84098911,666000,4481000,0.0260915894005298
"202","STER_006",-103.035332,40.463935,666568.228125937,4481105.26035748,666000,4481000,0.0260915894005298
"203","STER_006",-103.035332,40.463935,666568.228125937,4481105.26035748,666000,4481000,0.0260915894005298
"204","STER_006",-103.035332,40.463935,666568.228125937,4481105.26035748,666000,4481000,0.0260915894005298
"205","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"206","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"207","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"208","STER_035",-103.016662,40.469719,668136.775365262,4481782.74876985,668000,4481000,0.0238912294380664
"209","STER_035",-103.016662,40.469719,668136.775365262,4481782.74876985,668000,4481000,0.0238912294380664
"210","STER_035",-103.016662,40.469719,668136.775365262,4481782.74876985,668000,4481000,0.0238912294380664
"211","STER_029",-103.011749,40.468561,668556.196258583,4481663.57282413,668000,4481000,0.0238912294380664
"212","STER_029",-103.011749,40.468561,668556.196258583,4481663.57282413,668000,4481000,0.0238912294380664
"213","STER_029",-103.011749,40.468561,668556.196258583,4481663.57282413,668000,4481000,0.0238912294380664
"214","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"215","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"216","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"217","STER_032",-103.025102,40.472029,667415.492850483,4482023.13288607,667000,4482000,0.0211841195456981
"218","STER_032",-103.025102,40.472029,667415.492850483,4482023.13288607,667000,4482000,0.0211841195456981
"219","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"220","STER_032",-103.025102,40.472029,667415.492850483,4482023.13288607,667000,4482000,0.0211841195456981
"221","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"222","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"223","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"224","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"225","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"226","STER_034",-103.019238,40.478666,667896.085415224,4482771.04894903,667000,4482000,0.0211841195456981
"227","STER_034",-103.019238,40.478666,667896.085415224,4482771.04894903,667000,4482000,0.0211841195456981
"228","STER_034",-103.019238,40.478666,667896.085415224,4482771.04894903,667000,4482000,0.0211841195456981
"229","STER_027",-103.018821,40.480827,667926.046863519,4483011.73527646,667000,4483000,0.0744448983259201
"230","STER_027",-103.018821,40.480827,667926.046863519,4483011.73527646,667000,4483000,0.0744448983259201
"231","STER_027",-103.018821,40.480827,667926.046863519,4483011.73527646,667000,4483000,0.0744448983259201
"232","STER_033",-103.011866,40.47639,668526.694377924,4482532.44629882,668000,4482000,0.0201544795386793
"233","STER_033",-103.011866,40.47639,668526.694377924,4482532.44629882,668000,4482000,0.0201544795386793
"234","STER_033",-103.011866,40.47639,668526.694377924,4482532.44629882,668000,4482000,0.0201544795386793
"235","STER_018",-103.0346,40.465261,666627.014151829,4481253.84098911,666000,4481000,0.0260915894005298
"236","STER_018",-103.0346,40.465261,666627.014151829,4481253.84098911,666000,4481000,0.0260915894005298
"237","STER_018",-103.0346,40.465261,666627.014151829,4481253.84098911,666000,4481000,0.0260915894005298
"238","STER_006",-103.035332,40.463935,666568.228125937,4481105.26035748,666000,4481000,0.0260915894005298
"239","STER_006",-103.035332,40.463935,666568.228125937,4481105.26035748,666000,4481000,0.0260915894005298
"240","STER_006",-103.035332,40.463935,666568.228125937,4481105.26035748,666000,4481000,0.0260915894005298
"241","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"242","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"243","STER_005",-103.033324,40.460659,666746.584721581,4480745.38513228,666000,4480000,0.0109974097342492
"244","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"245","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"246","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"247","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"248","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"249","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"250","STER_032",-103.025102,40.472029,667415.492850483,4482023.13288607,667000,4482000,0.0211841195456981
"251","STER_032",-103.025102,40.472029,667415.492850483,4482023.13288607,667000,4482000,0.0211841195456981
"252","STER_032",-103.025102,40.472029,667415.492850483,4482023.13288607,667000,4482000,0.0211841195456981
"253","STER_035",-103.016662,40.469719,668136.775365262,4481782.74876985,668000,4481000,0.0238912294380664
"254","STER_035",-103.016662,40.469719,668136.775365262,4481782.74876985,668000,4481000,0.0238912294380664
"255","STER_035",-103.016662,40.469719,668136.775365262,4481782.74876985,668000,4481000,0.0238912294380664
"256","STER_029",-103.011749,40.468561,668556.196258583,4481663.57282413,668000,4481000,0.0238912294380664
"257","STER_029",-103.011749,40.468561,668556.196258583,4481663.57282413,668000,4481000,0.0238912294380664
"258","STER_029",-103.011749,40.468561,668556.196258583,4481663.57282413,668000,4481000,0.0238912294380664
"259","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"260","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"261","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"262","STER_034",-103.019238,40.478666,667896.085415224,4482771.04894903,667000,4482000,0.0211841195456981
"263","STER_034",-103.019238,40.478666,667896.085415224,4482771.04894903,667000,4482000,0.0211841195456981
"264","STER_034",-103.019238,40.478666,667896.085415224,4482771.04894903,667000,4482000,0.0211841195456981
"265","STER_027",-103.018821,40.480827,667926.046863519,4483011.73527646,667000,4483000,0.0744448983259201
"266","STER_027",-103.018821,40.480827,667926.046863519,4483011.73527646,667000,4483000,0.0744448983259201
"267","STER_027",-103.018821,40.480827,667926.046863519,4483011.73527646,667000,4483000,0.0744448983259201
"268","STER_033",-103.011866,40.47639,668526.694377924,4482532.44629882,668000,4482000,0.0201544795386793
"269","STER_033",-103.011866,40.47639,668526.694377924,4482532.44629882,668000,4482000,0.0201544795386793
"270","STER_033",-103.011866,40.47639,668526.694377924,4482532.44629882,668000,4482000,0.0201544795386793
"271","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"272","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"273","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"274","STER_029",-103.011749,40.468561,668556.196258583,4481663.57282413,668000,4481000,0.0238912294380664
"275","STER_029",-103.011749,40.468561,668556.196258583,4481663.57282413,668000,4481000,0.0238912294380664
"276","STER_029",-103.011749,40.468561,668556.196258583,4481663.57282413,668000,4481000,0.0238912294380664
"277","STER_011",-103.031538,40.461168,666896.76178837,4480805.26503137,666000,4480000,0.0109974097342492
"278","STER_011",-103.031538,40.461168,666896.76178837,4480805.26503137,666000,4480000,0.0109974097342492
"279","STER_011",-103.031538,40.461168,666896.76178837,4480805.26503137,666000,4480000,0.0109974097342492
"280","STER_012",-103.029801,40.460053,667046.806284256,4480684.77572993,667000,4480000,0.0155946796512604
"281","STER_012",-103.029801,40.460053,667046.806284256,4480684.77572993,667000,4480000,0.0155946796512604
"282","STER_012",-103.029801,40.460053,667046.806284256,4480684.77572993,667000,4480000,0.0155946796512604
"283","STER_010",-103.030496,40.460611,666986.493500721,4480745.40379678,666000,4480000,0.0109974097342492
"284","STER_010",-103.030496,40.460611,666986.493500721,4480745.40379678,666000,4480000,0.0109974097342492
"285","STER_010",-103.030496,40.460611,666986.493500721,4480745.40379678,666000,4480000,0.0109974097342492
"286","STER_006",-103.035332,40.463935,666568.228125937,4481105.26035748,666000,4481000,0.0260915894005298
"287","STER_006",-103.035332,40.463935,666568.228125937,4481105.26035748,666000,4481000,0.0260915894005298
"288","STER_006",-103.035332,40.463935,666568.228125937,4481105.26035748,666000,4481000,0.0260915894005298
"289","STER_016",-103.030754,40.463856,666956.579583773,4481105.14175602,666000,4481000,0.0260915894005298
"290","STER_016",-103.030754,40.463856,666956.579583773,4481105.14175602,666000,4481000,0.0260915894005298
"291","STER_016",-103.030754,40.463856,666956.579583773,4481105.14175602,666000,4481000,0.0260915894005298
"292","STER_027",-103.018821,40.480827,667926.046863519,4483011.73527646,667000,4483000,0.0744448983259201
"293","STER_027",-103.018821,40.480827,667926.046863519,4483011.73527646,667000,4483000,0.0744448983259201
"294","STER_027",-103.018821,40.480827,667926.046863519,4483011.73527646,667000,4483000,0.0744448983259201
"295","STER_032",-103.025102,40.472029,667415.492850483,4482023.13288607,667000,4482000,0.0211841195456981
"296","STER_032",-103.025102,40.472029,667415.492850483,4482023.13288607,667000,4482000,0.0211841195456981
"297","STER_032",-103.025102,40.472029,667415.492850483,4482023.13288607,667000,4482000,0.0211841195456981
"298","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"299","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"300","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"301","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"302","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"303","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"304","STER_033",-103.011866,40.47639,668526.694377924,4482532.44629882,668000,4482000,0.0201544795386793
"305","STER_033",-103.011866,40.47639,668526.694377924,4482532.44629882,668000,4482000,0.0201544795386793
"306","STER_033",-103.011866,40.47639,668526.694377924,4482532.44629882,668000,4482000,0.0201544795386793
"307","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"308","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"309","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"310","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"311","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"312","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"313","STER_029",-103.011749,40.468561,668556.196258583,4481663.57282413,668000,4481000,0.0238912294380664
"314","STER_029",-103.011749,40.468561,668556.196258583,4481663.57282413,668000,4481000,0.0238912294380664
"315","STER_029",-103.011749,40.468561,668556.196258583,4481663.57282413,668000,4481000,0.0238912294380664
"316","STER_029",-103.011749,40.468561,668556.196258583,4481663.57282413,668000,4481000,0.0238912294380664
"317","STER_029",-103.011749,40.468561,668556.196258583,4481663.57282413,668000,4481000,0.0238912294380664
"318","STER_029",-103.011749,40.468561,668556.196258583,4481663.57282413,668000,4481000,0.0238912294380664
"319","STER_012",-103.029801,40.460053,667046.806284256,4480684.77572993,667000,4480000,0.0155946796512604
"320","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"321","STER_012",-103.029801,40.460053,667046.806284256,4480684.77572993,667000,4480000,0.0155946796512604
"322","STER_012",-103.029801,40.460053,667046.806284256,4480684.77572993,667000,4480000,0.0155946796512604
"323","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"324","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"325","STER_027",-103.018821,40.480827,667926.046863519,4483011.73527646,667000,4483000,0.0744448983259201
"326","STER_027",-103.018821,40.480827,667926.046863519,4483011.73527646,667000,4483000,0.0744448983259201
"327","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"328","STER_027",-103.018821,40.480827,667926.046863519,4483011.73527646,667000,4483000,0.0744448983259201
"329","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"330","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"331","STER_011",-103.031538,40.461168,666896.76178837,4480805.26503137,666000,4480000,0.0109974097342492
"332","STER_011",-103.031538,40.461168,666896.76178837,4480805.26503137,666000,4480000,0.0109974097342492
"333","STER_011",-103.031538,40.461168,666896.76178837,4480805.26503137,666000,4480000,0.0109974097342492
"334","STER_010",-103.030496,40.460611,666986.493500721,4480745.40379678,666000,4480000,0.0109974097342492
"335","STER_010",-103.030496,40.460611,666986.493500721,4480745.40379678,666000,4480000,0.0109974097342492
"336","STER_016",-103.030754,40.463856,666956.579583773,4481105.14175602,666000,4481000,0.0260915894005298
"337","STER_010",-103.030496,40.460611,666986.493500721,4480745.40379678,666000,4480000,0.0109974097342492
"338","STER_016",-103.030754,40.463856,666956.579583773,4481105.14175602,666000,4481000,0.0260915894005298
"339","STER_016",-103.030754,40.463856,666956.579583773,4481105.14175602,666000,4481000,0.0260915894005298
"340","STER_012",-103.029801,40.460053,667046.806284256,4480684.77572993,667000,4480000,0.0155946796512604
"341","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"342","STER_012",-103.029801,40.460053,667046.806284256,4480684.77572993,667000,4480000,0.0155946796512604
"343","STER_012",-103.029801,40.460053,667046.806284256,4480684.77572993,667000,4480000,0.0155946796512604
"344","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"345","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"346","STER_027",-103.018821,40.480827,667926.046863519,4483011.73527646,667000,4483000,0.0744448983259201
"347","STER_027",-103.018821,40.480827,667926.046863519,4483011.73527646,667000,4483000,0.0744448983259201
"348","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"349","STER_027",-103.018821,40.480827,667926.046863519,4483011.73527646,667000,4483000,0.0744448983259201
"350","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"351","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"352","STER_011",-103.031538,40.461168,666896.76178837,4480805.26503137,666000,4480000,0.0109974097342492
"353","STER_011",-103.031538,40.461168,666896.76178837,4480805.26503137,666000,4480000,0.0109974097342492
"354","STER_011",-103.031538,40.461168,666896.76178837,4480805.26503137,666000,4480000,0.0109974097342492
"355","STER_010",-103.030496,40.460611,666986.493500721,4480745.40379678,666000,4480000,0.0109974097342492
"356","STER_010",-103.030496,40.460611,666986.493500721,4480745.40379678,666000,4480000,0.0109974097342492
"357","STER_016",-103.030754,40.463856,666956.579583773,4481105.14175602,666000,4481000,0.0260915894005298
"358","STER_010",-103.030496,40.460611,666986.493500721,4480745.40379678,666000,4480000,0.0109974097342492
"359","STER_016",-103.030754,40.463856,666956.579583773,4481105.14175602,666000,4481000,0.0260915894005298
"360","STER_016",-103.030754,40.463856,666956.579583773,4481105.14175602,666000,4481000,0.0260915894005298
"361","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"362","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"363","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"364","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"365","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"366","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"367","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"368","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"369","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"370","STER_028",-103.018333,40.473273,667986.24753517,4482174.09504514,667000,4482000,0.0211841195456981
"371","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"372","STER_031",-103.011685,40.470725,668556.209352388,4481903.9205334,668000,4481000,0.0238912294380664
"373","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"374","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"375","STER_029",-103.011749,40.468561,668556.196258583,4481663.57282413,668000,4481000,0.0238912294380664
"376","STER_029",-103.011749,40.468561,668556.196258583,4481663.57282413,668000,4481000,0.0238912294380664
"377","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"378","STER_026",-103.0243,40.474713,667476.812556816,4482322.60536237,667000,4482000,0.0211841195456981
"379","STER_029",-103.011749,40.468561,668556.196258583,4481663.57282413,668000,4481000,0.0238912294380664
